Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Smart BT Smart Watch  - Black.,"UGX 95,000","UGX 49,000",48%,3.3,3.0,https://www.jumia.ug/smart-bt-smart-watch-black.-32059694.html,smart watch
Multi Functional Bluetooth Call Smartwatch,"UGX 95,349","UGX 74,260",22%,4.0,12.0,https://www.jumia.ug/generic-multi-functional-bluetooth-call-smartwatch-194438947.html,smart watch
Smart BT Fitness Smart Watch - Color May Vary,,"UGX 35,000",,3.0,4.0,https://www.jumia.ug/smart-bt-fitness-smart-watch-color-may-vary-52445594.html,smart watch
Advanced Smart Watch And Fitness Tracker  - Black,,"UGX 89,000",,3.4,27.0,https://www.jumia.ug/generic-advanced-smart-watch-and-fitness-tracker-black-32920581.html,smart watch
Advanced Smart Watch  - Black,"UGX 72,819","UGX 52,000",29%,2.7,3.0,https://www.jumia.ug/generic-advanced-smart-watch-black-35574809.html,smart watch
BT Smart Watch  - Black.,"UGX 60,000","UGX 32,900",45%,3.7,113.0,https://www.jumia.ug/generic-bt-smart-watch-black.-32920404.html,smart watch
Smart Smartwatch Round Screen IP65 Bluetooth Smart Watch with Sim Toolkit - Black.,,"UGX 45,000",,3.2,108.0,https://www.jumia.ug/smartwatch-round-screen-ip65-bluetooth-smart-watch-with-sim-toolkit-black.-generic-mpg2894541.html,smart watch
Advanced Bluetooth Fitness Tracker Smart Watch Color May Vary - Black,,"UGX 28,000",,3.2,33.0,https://www.jumia.ug/generic-advanced-bluetooth-fitness-tracker-smart-watch-color-may-vary-black-51807643.html,smart watch
Advanced Smart Watch  - Black,"UGX 75,000","UGX 43,000",43%,4.0,22.0,https://www.jumia.ug/advanced-smart-watch-black-generic-mpg4070622.html,smart watch
BT Smart Watch Color May Vary - Black,,"UGX 28,000",,3.6,19.0,https://www.jumia.ug/bt-smart-watch-black.-generic-mpg1870775.html,smart watch
Advanced Smart Watch And Fitness Tracker  - Black,"UGX 80,000","UGX 60,000",25%,,,https://www.jumia.ug/generic-advanced-smart-watch-and-fitness-tracker-black-49088099.html,smart watch
Genelec Smart Watch Bluetooth Call AMOLED Large Screen 466*466 Waterproof-HEF,"UGX 164,049","UGX 113,990",31%,4.2,99.0,https://www.jumia.ug/genelec-smart-watch-bluetooth-call-amoled-large-screen-466466-waterproof-hef-108583214.html,smart watch
Bro Toumi Smart Watch Bluetooth Calling IP68 Waterproof HD,"UGX 120,274","UGX 73,150",39%,4.2,17.0,https://www.jumia.ug/bro-toumi-smart-watch-bluetooth-calling-ip68-waterproof-hd-98188187.html,smart watch
TiLECC New S10promax 5-in-1 Smartwatch And P47Bluetooth Headset,"UGX 129,668","UGX 52,999",59%,3.4,68.0,https://www.jumia.ug/generic-tilecc-new-s10promax-5-in-1-smartwatch-and-p47bluetooth-headset-174068918.html,smart watch
TiLECC 2023 New T900 Pro Max 49mm 2.09-inch Smart Watch,"UGX 56,172","UGX 21,984",61%,3.2,492.0,https://www.jumia.ug/generic-tilecc-2023-new-t900-pro-max-49mm-2.09-inch-smart-watch-113591464.html,smart watch
Portable Magnetic Watch Wireless Charger For Samsung Galaxy Watch 8 7 6 5pro 5 4 3 Active 2- Black,"UGX 80,000","UGX 45,000",44%,,,https://www.jumia.ug/generic-portable-magnetic-watch-wireless-charger-for-samsung-galaxy-watch-8-7-6-5pro-5-4-3-active-2-black-254865929.html,smart watch
2.09 Smart Watch Full Touch Screen - Sports Pink Purple,"UGX 96,379","UGX 55,460",42%,3.1,7.0,https://www.jumia.ug/generic-2.09-smart-watch-full-touch-screen-sports-pink-purple-114698123.html,smart watch
"Alpine Loop Strap For Apple Watch Band 49mm 46mm 44mm 45mm 42mm Nylon Bracelet - Orange,Black,Green","UGX 60,000","UGX 30,000 - UGX 58,000",50%,5.0,1.0,https://www.jumia.ug/generic-alpine-loop-strap-for-apple-watch-band-49mm-46mm-44mm-45mm-42mm-nylon-bracelet-orangeblackgreen-247327461.html,smart watch
Oraimo Watch 5N 2.01'' TFT Screen Smart Lifestyle Tracking Smart Watch 100+ Sports Modes,"UGX 133,095","UGX 51,821",61%,4.2,187.0,https://www.jumia.ug/oraimo-watch-5n-2.01-tft-screen-smart-lifestyle-tracking-smart-watch-100-sports-modes-243862927.html,smart watch
2.09 Smart Watch Full Touch Screen - Sports Silicone Belt,"UGX 97,886","UGX 55,460",43%,3.9,12.0,https://www.jumia.ug/generic-2.09-smart-watch-full-touch-screen-sports-silicone-belt-113623703.html,smart watch
Oraimo Watch Pro AM 1.85″ AMOLED IP68 Full Touch Screen Smart Watch,,"UGX 329,098",,,7.0,https://www.jumia.ug/oraimo-watch-pro-am-1.85-amoled-ip68-full-touch-screen-smart-watch-243850736.html,smart watch
TiLECC T900 Ultra2 Smart Watch 2.19-inch High Bluetooth Call Intelligent IP67 Waterproof-Black,"UGX 29,453","UGX 24,999",15%,3.3,254.0,https://www.jumia.ug/generic-tilecc-t900-ultra2-smart-watch-2.19-inch-high-bluetooth-call-intelligent-ip67-waterproof-black-116773619.html,smart watch
TiLECC Smart Watch Ultra 8 Door Access Unlock Smartwatch - Orange,"UGX 60,907","UGX 24,987",59%,3.7,82.0,https://www.jumia.ug/generic-tilecc-smart-watch-ultra-8-door-access-unlock-smartwatch-orange-115040420.html,smart watch
EAGEAT Two-in-one T55 Smart Watch Bluetooth Headset,"UGX 100,177","UGX 34,999",65%,3.4,43.0,https://www.jumia.ug/eageat-two-in-one-t55-smart-watch-bluetooth-headset-196779248.html,smart watch
New T900 Pro Max 49mm 2.09-inch Smart Watch,"UGX 58,982","UGX 20,867",65%,3.2,20.0,https://www.jumia.ug/generic-new-t900-pro-max-49mm-2.09-inch-smart-watch-152122984.html,smart watch
Portable Magnetic Watch Wireless Charger For Samsung Galaxy Watch 8 7 6 5pro 5 4 3 Active 2- Black,"UGX 80,000","UGX 77,000",4%,,,https://www.jumia.ug/generic-portable-magnetic-watch-wireless-charger-for-samsung-galaxy-watch-8-7-6-5pro-5-4-3-active-2-black-250066621.html,smart watch
Smart Watch Bluetooth with Sim card slots + Free 16GB Micro Memory Card - Black.,"UGX 180,000","UGX 78,000",57%,3.8,15.0,https://www.jumia.ug/watch-bluetooth-with-sim-card-slots-free-16gb-micro-memory-card-black.-smart-mpg5736360.html,smart watch
Smartwatch Round Screen Bluetooth Smart Watch with Sim Toolkit - Black.,"UGX 99,995","UGX 98,000",2%,,,https://www.jumia.ug/generic-smartwatch-round-screen-bluetooth-smart-watch-with-sim-toolkit-black.-6696201.html,smart watch
IPS HD Touch Smart Watch BT Call Sports Monitoring Long Battery,"UGX 67,029","UGX 38,115",43%,4.5,4.0,https://www.jumia.ug/generic-ips-hd-touch-smart-watch-bt-call-sports-monitoring-long-battery-236850455.html,smart watch
RichRipple 2025 NEW Black & Grey Smartwatch Bands Series 10 Smartwatch  Heart Rate Monitor  2.3 inch,"UGX 56,711","UGX 24,525",57%,4.0,22.0,https://www.jumia.ug/richripple-2025-new-black-grey-smartwatch-bands-series-10-smartwatch-heart-rate-monitor-2.3-inch-232717650.html,smart watch
Ultra Advanced Smartwatch - Orange,"UGX 60,000","UGX 22,100",63%,3.8,45.0,https://www.jumia.ug/generic-ultra-advanced-smartwatch-orange-100015786.html,smart watch
Sports Silicone let For Apple Watch Band 45mm 41mm 42/38mm 40/44mm Smart For iWatch Series 7 6 SE 5 4 3 2 1 Men Women Strap-6T,"UGX 172,241","UGX 99,900",42%,,,https://www.jumia.ug/generic-sports-silicone-let-for-apple-watch-band-45mm-41mm-4238mm-4044mm-smart-for-iwatch-series-7-6-se-5-4-3-2-1-men-women-strap-6t-37351921.html,smart watch
Smart BT T500 Smart Watch  - Black.,"UGX 93,005","UGX 57,900",38%,,,https://www.jumia.ug/smart-bt-t500-smart-watch-black.-31159957.html,smart watch
TiLECC T800 Smart Watch Ultra 8 Door Access  Smartwatch Series 8,"UGX 56,210","UGX 21,984",61%,3.3,613.0,https://www.jumia.ug/generic-tilecc-t800-smart-watch-ultra-8-door-access-smartwatch-series-8-113136594.html,smart watch
Smart Watch - Black,,"UGX 250,007",,,,https://www.jumia.ug/generic-smart-watch-black-22701703.html,smart watch
TiLECC Uitra 8 Smart Watch Dual Band 2-in-1 With Bluetooth Headset,"UGX 83,391","UGX 33,996",59%,3.2,186.0,https://www.jumia.ug/generic-tilecc-uitra-8-smart-watch-dual-band-2-in-1-with-bluetooth-headset-115158680.html,smart watch
Smart Watch Bluetooth Calling 1.39inch HD,"UGX 143,682","UGX 92,400",36%,3.7,21.0,https://www.jumia.ug/generic-smart-watch-bluetooth-calling-1.39inch-hd-98188335.html,smart watch
"Smart Watch, Support Heart Rate / Blood Pressure / Oxygen / Multiple Sports Modes (Pink)","UGX 80,000","UGX 45,000",44%,3.6,7.0,https://www.jumia.ug/generic-smart-watch-support-heart-rate-blood-pressure-oxygen-multiple-sports-modes-pink-159193395.html,smart watch
"Oraimo Watch Nova AM 2.01"" AMOLED Screen Curved Cover Smart 100+Sport Mode Watch","UGX 223,839","UGX 139,024",38%,,22.0,https://www.jumia.ug/oraimo-watch-nova-am-2.01-amoled-screen-curved-cover-smart-100sport-mode-watch-243862943.html,smart watch
Smart Watch Men Women 2.09''Bluetooth Call Wireless Charger-Black,"UGX 42,350","UGX 30,030",29%,,,https://www.jumia.ug/generic-smart-watch-men-women-2.09bluetooth-call-wireless-charger-black-238104953.html,smart watch
Smartwatch Round Screen IP65 Bluetooth Smart Watch with Sim Toolkit - Black.,,"UGX 899,991",,3.0,2.0,https://www.jumia.ug/generic-smartwatch-round-screen-ip65-bluetooth-smart-watch-with-sim-toolkit-black.-4320649.html,smart watch
Smart Watch Waterproof -Black,"UGX 32,000","UGX 28,000",13%,3.4,19.0,https://www.jumia.ug/generic-smart-watch-waterproof-black-44858339.html,smart watch
2.09 Smart Watch Full Touch Screen - Business Gold Steelbelt,"UGX 99,392","UGX 58,940",41%,3.6,11.0,https://www.jumia.ug/generic-2.09-smart-watch-full-touch-screen-business-gold-steelbelt-115009092.html,smart watch
Ultra Smart Watch - Black,"UGX 60,000","UGX 22,100",63%,3.6,23.0,https://www.jumia.ug/ultra-8-smart-watch-black-generic-mpg522345.html,smart watch
Smart Watch Bluetooth Call AMOLED Large Screen Waterproof-HTO,"UGX 101,371","UGX 84,700",16%,3.7,50.0,https://www.jumia.ug/generic-smart-watch-bluetooth-call-amoled-large-screen-waterproof-hto-108583972.html,smart watch
Unisex Advanced V-Series Bluetooth Touchscreen Smart Watch with a MicroSD Card and Simcard Slot - Black,,"UGX 40,000",,3.2,30.0,https://www.jumia.ug/2019-v-series-unisex-advanced-intelligent-multi-functional-touch-screen-bluetooth-smartwatch-wristband-smart-watch-plus-a-free-stylish-phone-ring-holder-black-generic-mpg40628.html,smart watch
TiLECC T900 Ultra2 Smart Watch 2.19-inch High Bluetooth Call Intelligent IP67 Waterproof-White,"UGX 77,578","UGX 24,999",68%,3.3,118.0,https://www.jumia.ug/generic-tilecc-t900-ultra2-smart-watch-2.19-inch-high-bluetooth-call-intelligent-ip67-waterproof-white-116773622.html,smart watch
2025 New Alpine Loop Strap For Apple Watch Ultra 2 Band 49mm 10 9 8 7 46mm 42mm 45mm - Black,"UGX 85,000","UGX 60,000",29%,,,https://www.jumia.ug/generic-2025-new-alpine-loop-strap-for-apple-watch-ultra-2-band-49mm-10-9-8-7-46mm-42mm-45mm-black-254865645.html,smart watch
TiLECC 2 In 1 Touch Screen Sport Smart Watch With Headphones,"UGX 99,176","UGX 33,996",66%,3.2,107.0,https://www.jumia.ug/generic-tilecc-2-in-1-touch-screen-sport-smart-watch-with-headphones-113572574.html,smart watch
Smart Watch Can Install Sim Card _ Call Watch Color May Vary - Black,,"UGX 40,000",,3.5,12.0,https://www.jumia.ug/smart-watch-can-install-sim-card-call-watch-black-generic-mpg92500.html,smart watch
Smartwatch Full-Screen Touch - for Android pink,"UGX 90,000","UGX 39,600",56%,3.0,4.0,https://www.jumia.ug/generic-smartwatch-full-screen-touch-for-android-pink-142766145.html,smart watch
Smart Watch Color May Vary - Black,,"UGX 28,000",,3.1,55.0,https://www.jumia.ug/watch-black.-smart-mpg2748881.html,smart watch
Huawei Band 8 1.47'' AMOLED Screen Smart Band - Black,"UGX 240,625","UGX 157,850",34%,4.8,13.0,https://www.jumia.ug/huawei-band-8-1.47-amoled-screen-smart-band-black-84282129.html,smart watch
DT09 Smart Watch And Rubber Strap Men's Watch With Sim - Color May Vary,,"UGX 40,000",,3.1,16.0,https://www.jumia.ug/dt09-smart-watch-and-rubber-strap-mens-watch-with-sim-silver-black-generic-mpg4164.html,smart watch
Apple Watch Screen Protector 44mm 45mm 41mm 38mm,"UGX 10,500 - UGX 30,000","UGX 10,000 - UGX 20,000",33%,4.0,4.0,https://www.jumia.ug/apple-watch-screen-protector-44mm-45mm-41mm-38mm-206104730.html,smart watch
XS8 Pro Ultra Smartwatch Bluetooth Phone Waterproof Wireless Charging HD Screen,"UGX 102,604","UGX 70,278",32%,3.3,84.0,https://www.jumia.ug/generic-xs8-pro-ultra-smartwatch-bluetooth-phone-waterproof-wireless-charging-hd-screen-56852290.html,smart watch
HW-C1 Children's Smart Phone Watch - Blue,"UGX 100,177","UGX 38,500",62%,,,https://www.jumia.ug/generic-hw-c1-childrens-smart-phone-watch-blue-241590221.html,smart watch
Smart Watch  - Black.,,"UGX 28,000",,4.3,6.0,https://www.jumia.ug/generic-smart-watch-black.-47376892.html,smart watch
1Pc Glass + Cover For Apple Watch case Series 7 8 9 45MM - Green,"UGX 21,000","UGX 15,000",29%,,,https://www.jumia.ug/generic-1pc-glass-cover-for-apple-watch-case-series-7-8-9-45mm-green-244082605.html,smart watch
Smart Watch Bluetooth Call IP68 Waterproof 1.6inch 466*466 AMOLD,"UGX 126,704","UGX 80,850",36%,3.0,4.0,https://www.jumia.ug/generic-smart-watch-bluetooth-call-ip68-waterproof-1.6inch-466466-amold-102111224.html,smart watch
Smart Watch Bluetooth Call IP68 Waterproof 2.1inch 466*466 AMOLD GW,"UGX 201,509","UGX 84,700",58%,,,https://www.jumia.ug/generic-smart-watch-bluetooth-call-ip68-waterproof-2.1inch-466466-amold-gw-158741901.html,smart watch
Smart Watch Sports Smart Watch Wireless Charging For Android IOS-Black,"UGX 73,150","UGX 53,130",27%,,,https://www.jumia.ug/generic-smart-watch-sports-smart-watch-wireless-charging-for-android-ios-black-238104666.html,smart watch
Smartwatch Ultra Smart Watch Waterproof-Black,"UGX 82,000","UGX 55,000",33%,,4.0,https://www.jumia.ug/smartwatch-ultra-smart-watch-waterproof-black-65657980.html,smart watch
Waterproof Smart Watch Bluetooth Watch-Black,"UGX 69,984","UGX 61,981",11%,3.3,14.0,https://www.jumia.ug/smartwatch-s19-waterproof-smart-bluetooth-watch-black-smart-berry-mpg86995.html,smart watch
Wireless Charger Smartwatch Charging Dock For Samsung Gear Samsung Galaxy Watch Gear - Black,"UGX 60,000","UGX 40,000",33%,5.0,1.0,https://www.jumia.ug/generic-wireless-charger-smartwatch-charging-dock-for-samsung-gear-samsung-galaxy-watch-gear-black-251274474.html,smart watch
EAGEAT T900 Pro Max 49mm Smart Watch,"UGX 39,999","UGX 28,999",28%,2.5,2.0,https://www.jumia.ug/eageat-t900-pro-max-49mm-smart-watch-237851323.html,smart watch
Smart BT Smart Watch  - Black.,,"UGX 63,000",,4.3,10.0,https://www.jumia.ug/smart-bt-smart-watch-black.-28986148.html,smart watch
Round Screen SIM Card Smart Watch + Free Earphone Color May Vary - Black,,"UGX 45,000",,3.6,9.0,https://www.jumia.ug/generic-round-screen-sim-card-smart-watch-free-earphone-color-may-vary-black-3239690.html,smart watch
BT Ultra Smartwatch Bluetooth Phone Waterproof - Black,,"UGX 28,000",,3.5,11.0,https://www.jumia.ug/generic-bt-ultra-smartwatch-bluetooth-phone-waterproof-black-83441745.html,smart watch
Oraimo Watch Pro NT Smart Watch Forged Carbon Design Oraimo AI,"UGX 667,700","UGX 434,000",35%,,,https://www.jumia.ug/oraimo-watch-pro-nt-smart-watch-forged-carbon-design-oraimo-ai-243721508.html,smart watch
Silicone Band for  Versa 3 Smart Watch Double-Buck Waterproof Small Large Women Men let band for  Sense strap-black,"UGX 168,793","UGX 97,900",42%,,,https://www.jumia.ug/generic-silicone-band-for-versa-3-smart-watch-double-buck-waterproof-small-large-women-men-let-band-for-sense-strap-black-36934702.html,smart watch
Bro Toumi Smart Watch Bluetooth Call IP68 Waterproof 1.65inch 520*520 AMOLD,"UGX 126,704","UGX 84,700",33%,4.5,4.0,https://www.jumia.ug/bro-toumi-smart-watch-bluetooth-call-ip68-waterproof-1.65inch-520520-amold-130282274.html,smart watch
Ultra Smartwatch - Orange,"UGX 48,000","UGX 26,900",44%,3.8,9.0,https://www.jumia.ug/generic-ultra-smartwatch-orange-100015785.html,smart watch
Bro Toumi Smart Watch Bluetooth Calling 1.36inch HD,"UGX 96,212","UGX 50,050",48%,5.0,2.0,https://www.jumia.ug/bro-toumi-smart-watch-bluetooth-calling-1.36inch-hd-204591616.html,smart watch
Men's Black NFC Smart Watch T800 Ultra Bluetooth Waterproof Watch,"UGX 85,000","UGX 80,000",6%,,,https://www.jumia.ug/generic-mens-black-nfc-smart-watch-t800-ultra-bluetooth-waterproof-watch-110970529.html,smart watch
1PC Tempered Glass Film For Samsung Tempered Glass Film For Samsung Galaxy Watch 5 Pro 45mm - Transparent,"UGX 20,000","UGX 10,000",50%,,,https://www.jumia.ug/generic-1pc-tempered-glass-film-for-samsung-tempered-glass-film-for-samsung-galaxy-watch-5-pro-45mm-transparent-244084490.html,smart watch
"Bluetooth Headset Plus IOS & Android Waterproof Smart Watch Combination - Black,","UGX 140,000","UGX 75,000",46%,,,https://www.jumia.ug/generic-bluetooth-headset-plus-ios-android-waterproof-smart-watch-combination-black-27161871.html,smart watch
2.09 Smart Watch Full Touchscreen - Business Black Steelbelt,"UGX 105,182","UGX 64,860",38%,3.4,15.0,https://www.jumia.ug/generic-2.09-smart-watch-full-touchscreen-business-black-steelbelt-115143199.html,smart watch
Smart Watch Bluetooth Call IP68 Waterproof 1.62inch 466*466 AMOLD,"UGX 176,061","UGX 110,649",37%,,10.0,https://www.jumia.ug/generic-smart-watch-bluetooth-call-ip68-waterproof-1.62inch-466466-amold-106254445.html,smart watch
Smart Watch Full Touch Watch - For Android & IOS.,"UGX 35,800","UGX 35,000",2%,,,https://www.jumia.ug/generic-smart-watch-full-touch-watch-for-android-ios.-149080463.html,smart watch
EAGEAT T800 Smart Watch Ultra 8 Door Access Smartwatch Series 8,"UGX 39,999","UGX 28,999",28%,4.5,2.0,https://www.jumia.ug/eageat-t800-smart-watch-ultra-8-door-access-smartwatch-series-8-237851318.html,smart watch
Advanced Smart Watch  - Black,"UGX 89,991","UGX 45,000",50%,3.3,4.0,https://www.jumia.ug/generic-advanced-smart-watch-black-53301905.html,smart watch
WL Universal 15W Fast Charging 3 In1 Foldable Wireless Charger Stand Holder Wirel Fast Charging Dock Stand Desktop Charging Station,"UGX 100,000","UGX 55,000",45%,4.3,4.0,https://www.jumia.ug/wl-universal-15w-fast-charging-3-in1-foldable-wireless-charger-stand-holder-wirel-fast-charging-dock-stand-desktop-charging-station-33090811.html,smart watch
Tecno Watch Pro 2 1.43 AMOLED HD Touch Screen 466x466 Display Resolution 2.5D- Color May Vary,"UGX 200,000","UGX 125,760",37%,4.7,3.0,https://www.jumia.ug/tecno-watch-pro-2-1.43-amoled-hd-touch-screen-466x466-display-resolution-2.5d-color-may-vary-218219314.html,smart watch
"Multifunctional Bluetooth Call, Smart Watch Sports - Color May Vary",,"UGX 28,000",,3.5,11.0,https://www.jumia.ug/x8-multifunctional-bluetooth-call-smart-watch-sports-black-smartwatch-mpg108108.html,smart watch
Smart BT Fitness Smart Watch - Color May Vary,,"UGX 35,000",,3.0,4.0,https://www.jumia.ug/smart-bt-fitness-smart-watch-color-may-vary-52445594.html,smart watch
Stainless Steel Chain Straps For Smart Watches -42/44/45 Mm,"UGX 50,000","UGX 38,900",22%,5.0,1.0,https://www.jumia.ug/generic-stainless-steel-chain-straps-for-smart-watches-424445-mm-210497661.html,smart watch
Unisex Advanced Multi-functional Touch Screen Bluetooth Smartwatch - Black,,"UGX 40,000",,3.8,4.0,https://www.jumia.ug/unisex-advanced-multi-functional-touch-screen-bluetooth-smartwatch-black-generic-mpg82128.html,smart watch
HD Curved Tempered Glass-Xiaomi Redmi 9C NFC,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-xiaomi-redmi-9c-nfc-generic-mpg86430.html,smart watch
Glass + Cover For Apple Watch case Series 7 8 9 45MM - Black,"UGX 40,000","UGX 20,000",50%,,,https://www.jumia.ug/generic-glass-cover-for-apple-watch-case-series-7-8-9-45mm-black-244082604.html,smart watch
Advanced Smart Watch  - Black,"UGX 75,000","UGX 43,000",43%,4.0,22.0,https://www.jumia.ug/advanced-smart-watch-black-generic-mpg4070622.html,smart watch
HD Curved Tempered Glass-Nokia 7.1,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-nokia-7.1-generic-mpg86347.html,smart watch
Advanced Smart Watch And Fitness Tracker Color May Vary - Black,,"UGX 28,000",,3.7,11.0,https://www.jumia.ug/generic-advanced-smart-watch-and-fitness-tracker-color-may-vary-black-42404575.html,smart watch
HD Curved Tempered Glass-Samsung Galaxy S20 FE,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-samsung-galaxy-s20-fe-generic-mpg86384.html,smart watch
20mm watch strap for sumsang galaxy active 2 40 44 mm silicone wrist strap for galaxy active 1 42 46 smart wearable accessories-grey,"UGX 139,690","UGX 69,845",50%,,,https://www.jumia.ug/generic-20mm-watch-strap-for-sumsang-galaxy-active-2-40-44-mm-silicone-wrist-strap-for-galaxy-active-1-42-46-smart-wearable-accessories-grey-244104713.html,smart watch
HD Curved Tempered Glass-Infinix Smart 4,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-infinix-smart-4-generic-mpg86333.html,smart watch
Genetic TiLECC T900 Ultra2 Smart Watch 2.19-inch High Bluetooth Call Intelligent IP67 Waterproof-White,"UGX 120,000","UGX 93,000",23%,,,https://www.jumia.ug/genetic-tilecc-t900-ultra2-smart-watch-2.19-inch-high-bluetooth-call-intelligent-ip67-waterproof-white-243440151.html,smart watch
A-Line (Black With Tools-3)22mm Universal Titanium Metal Strap For Huawei GT2 GT3 Pro 46mm For Samsung Watch 3 45mm S3 Amazfit Stratos Business Bracelet DOU,"UGX 325,828","UGX 162,914",50%,,,https://www.jumia.ug/a-line-black-with-tools-322mm-universal-titanium-metal-strap-for-huawei-gt2-gt3-pro-46mm-for-samsung-watch-3-45mm-s3-amazfit-stratos-business-bracelet-dou-123885171.html,smart watch
Bb Men's Waterproof Casual Sports Digital Watch - Black,"UGX 170,000","UGX 145,000",15%,,,https://www.jumia.ug/bb-mens-waterproof-casual-sports-digital-watch-black-239726003.html,smart watch
W26 Pro Max And Free Earpods,,"UGX 49,500",,,,https://www.jumia.ug/generic-w26-pro-max-and-free-earpods-149960288.html,smart watch
For Garmin Vivoactive 4S Soft Hydrogel Film Watch Screen Protector,"UGX 3,402","UGX 2,087",39%,,,https://www.jumia.ug/for-garmin-vivoactive-4s-soft-hydrogel-film-watch-screen-protector-generic-mpg5184646.html,smart watch
Glass + Case For Samsung Galaxy Watch 6/6 Classic - Black,"UGX 28,000","UGX 20,000",29%,3.0,1.0,https://www.jumia.ug/generic-glass-case-for-samsung-galaxy-watch-66-classic-black-255760662.html,smart watch
Watchband For HUBLOT BIG BANG Silicone 2619mm Waterproof Men's Watch Strap Chain Watch Rubber Bracelet WristbandBlackrosegold,"UGX 523,410","UGX 261,705",50%,,,https://www.jumia.ug/generic-watchband-for-hublot-big-bang-silicone-2619mm-waterproof-mens-watch-strap-chain-watch-rubber-bracelet-wristbandblackrosegold-259034768.html,smart watch
Advanced Smart Watch  - Black,,"UGX 28,000",,3.2,25.0,https://www.jumia.ug/advanced-smart-watch-black-generic-mpg4275990.html,smart watch
HD Curved Tempered Glass-Nokia 2.3,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-nokia-2.3-generic-mpg86339.html,smart watch
Cover For Apple Watch Case Series 10 42MM - Black,"UGX 40,000","UGX 38,000",5%,,,https://www.jumia.ug/generic-cover-for-apple-watch-case-series-10-42mm-black-257901047.html,smart watch
Candy Color Resin Strap For Apple Watch 41mm 45 38 42 44 40 mm aron Replace Wrist Watchband Belt Smart Watch Band Accessories-Light green,"UGX 170,517","UGX 98,900",42%,,,https://www.jumia.ug/generic-candy-color-resin-strap-for-apple-watch-41mm-45-38-42-44-40-mm-aron-replace-wrist-watchband-belt-smart-watch-band-accessories-light-green-37002314.html,smart watch
Watchband With Frame For Apple Watch Series -Color Black.,"UGX 55,000","UGX 32,500",41%,4.8,9.0,https://www.jumia.ug/generic-watchband-with-frame-for-apple-watch-series-color-black.-19656073.html,smart watch
Glass + Cover For Apple Watch Case Series 4 5 6 SE 40MM - Black,"UGX 20,000","UGX 15,000",25%,,,https://www.jumia.ug/glass-cover-for-apple-watch-case-series-4-5-6-se-40mm-black-generic-mpg6150854.html,smart watch
HD Curved Tempered Glass-Samsung Galaxy S9+,"UGX 50,018","UGX 30,000",40%,3.0,2.0,https://www.jumia.ug/hd-curved-tempered-glass-samsung-galaxy-s9-generic-mpg70645.html,smart watch
Stainless Steel Band for Apple Watch Series 6 se 5 4 38mm Smartwatch Replacement Bands bracelet for iwatch 42 40mm wrist strap silver black tool,"UGX 142,931","UGX 82,900",42%,,,https://www.jumia.ug/generic-stainless-steel-band-for-apple-watch-series-6-se-5-4-38mm-smartwatch-replacement-bands-bracelet-for-iwatch-42-40mm-wrist-strap-silver-black-tool-51163490.html,smart watch
Galaxy Watch 4 Stainless Steel Strap for Samsung Watch4 44mm 40mm Clic 46mm 42mm Wrist Band Curved End No Gaps Metal let-Black and tool,"UGX 215,344","UGX 124,900",42%,,,https://www.jumia.ug/generic-galaxy-watch-4-stainless-steel-strap-for-samsung-watch4-44mm-40mm-clic-46mm-42mm-wrist-band-curved-end-no-gaps-metal-let-black-and-tool-37362621.html,smart watch
HD Curved Tempered Glass-Infinix Note 10,,"UGX 35,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-infinix-note-10-generic-mpg86323.html,smart watch
Advanced Bluetooth Smart Watch And Fitness Tracker - Black,"UGX 60,000","UGX 28,000",53%,,,https://www.jumia.ug/generic-advanced-bluetooth-smart-watch-and-fitness-tracker-black-259274485.html,smart watch
HD Curved Tempered Glass-Tecno Pouvoir 2,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-tecno-pouvoir-2-generic-mpg86403.html,smart watch
Advanced Bluetooth Smart Watch And Fitness Tracker,"UGX 85,000","UGX 27,500",68%,,,https://www.jumia.ug/generic-advanced-bluetooth-smart-watch-and-fitness-tracker-259168594.html,smart watch
HD Curved Tempered Glass-Infinix Hot 8,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-infinix-hot-8-generic-mpg86318.html,smart watch
Samsung Galaxy Watch 7 Ultra 47mm Smart Watch PC Case Protector - Black,"UGX 50,000","UGX 25,000",50%,,,https://www.jumia.ug/generic-samsung-galaxy-watch-7-ultra-47mm-smart-watch-pc-case-protector-black-259022568.html,smart watch
HD Curved Tempered Glass-Tecno Pova,,"UGX 32,000",,,,https://www.jumia.ug/hd-curved-tempered-glass-tecno-pova-generic-mpg86407.html,smart watch
